Frame,Frametime,glfwPollEvents,InputUpdate,PlayerUpdate,WorldUpdate,Raycasting,CsvStuff,Draw UI,Update,ImGuiRender,WorldDrawChunks,DrawChunks,OpenGLRender,ChunkBuildMesh
3373,8295,13,15,1,0,0,5,11,25,42,82,84,101,
3374,7691,156,161,2,0,0,8,10,175,42,95,98,115,
3375,8551,15,18,2,0,0,7,9,29,44,83,85,101,
3376,8701,17,20,2,0,0,10,12,35,63,96,99,118,
3377,8094,14,17,2,0,0,7,9,27,41,69,70,86,
3378,8163,18,21,2,0,0,6,9,32,42,76,78,94,
3379,8228,15,17,1,0,0,6,14,27,45,75,95,115,
3380,8811,16,20,1,0,0,6,12,29,50,93,95,114,
3381,7733,15,19,2,0,0,7,11,30,69,90,94,112,
3382,9184,14,16,2,0,0,7,7,27,44,70,72,85,
3383,7502,43,46,2,0,0,6,10,56,42,82,85,101,
3384,8923,12,14,2,0,0,6,10,24,45,73,75,92,
3385,7665,15,18,1,0,0,7,10,28,43,73,75,91,
3386,108318,13,15,1,0,0,6,7,24,49,71,74,86,
3387,8712,13,15,2,0,0,7,9,26,42,67,69,85,
3388,8644,15,17,5,0,0,8,7,33,48,72,74,87,
3389,7860,17,20,1,0,0,6,10,30,44,69,71,88,
3390,8460,17,20,2,0,0,7,10,32,44,68,71,87,
3391,7993,14,17,1,0,0,7,10,28,48,69,71,87,
3392,8907,13,15,2,0,0,6,9,26,50,69,71,86,
3393,7871,16,19,2,0,0,7,12,30,47,78,80,99,
3394,8638,15,19,1,0,0,6,11,29,44,71,73,89,
3395,8211,14,17,2,0,0,9,10,31,58,76,79,96,
3396,8448,13,15,1,0,0,6,7,25,41,70,72,85,
3397,8162,13,17,1,0,0,6,11,26,46,70,72,89,
3398,8516,14,18,1,0,0,12,8,33,49,73,76,89,
3399,8057,14,17,1,0,0,7,8,27,47,70,72,86,
3400,8754,16,18,3,0,0,8,12,32,58,95,98,116,
3401,8093,17,19,2,0,0,8,9,33,42,74,76,91,
3402,8673,15,17,2,0,0,7,7,28,45,74,76,89,
3403,7747,15,18,2,0,0,6,7,29,44,68,71,86,
3404,8670,12,14,1,0,0,6,9,24,39,71,73,87,
3405,7942,14,17,2,0,0,7,11,27,41,66,69,85,
3406,8637,14,17,1,0,0,5,10,26,41,68,71,86,
3407,8047,15,18,2,0,0,6,10,27,42,73,75,91,
3408,8801,14,16,1,0,0,6,7,26,49,68,70,83,
3409,8098,14,17,1,0,0,6,7,26,43,67,69,82,
3410,8703,16,19,2,0,0,7,9,30,54,84,86,102,
3411,7825,13,16,1,0,0,7,12,26,46,85,87,105,
3412,8906,16,18,2,0,0,17,9,40,58,94,97,113,
3413,7775,11,14,1,0,0,6,10,23,45,73,75,92,
3414,8701,16,19,3,0,0,10,12,35,69,102,105,126,
3415,7877,14,16,2,0,0,6,7,26,42,70,72,85,
3416,8673,20,23,2,0,0,7,7,34,62,85,87,101,
3417,8074,15,17,2,0,0,8,10,29,44,73,75,91,
3418,8652,16,19,1,0,0,6,9,29,41,72,74,89,
3419,7864,14,17,2,0,0,6,10,27,47,71,73,89,
3420,8708,14,17,1,0,0,7,11,28,41,69,71,87,
3421,8268,14,17,2,0,0,9,8,34,61,69,71,85,
3422,8440,13,16,1,0,0,8,7,27,41,69,71,84,
3423,8024,19,22,2,0,0,9,9,38,69,82,85,100,
3424,8690,15,18,2,0,0,7,10,28,47,70,73,88,
3425,7978,15,18,1,0,0,7,7,29,60,71,73,86,
3426,8823,12,16,1,0,0,6,10,25,40,96,99,114,
3427,7904,14,17,2,0,0,7,11,29,43,75,77,95,
3428,8809,13,16,1,0,0,6,10,26,41,69,71,86,
3429,7826,16,19,2,0,0,15,9,38,51,69,71,86,
3430,8708,16,18,2,0,0,9,13,31,57,88,91,110,
3431,7951,14,17,1,0,0,7,12,27,49,79,82,101,
3432,8780,19,22,1,0,0,7,10,33,46,70,73,89,
3433,7883,15,19,2,0,0,7,7,30,47,71,73,87,
3434,8785,13,15,2,0,0,6,9,26,42,69,71,85,
3435,8058,12,14,2,0,0,7,10,26,41,82,84,100,
3436,8904,13,16,2,0,0,6,7,26,46,71,73,86,
3437,7613,107,110,1,0,0,7,7,121,57,75,78,92,
3438,8596,14,16,1,0,0,7,9,27,52,70,72,86,
3439,8042,15,17,2,0,0,8,11,30,43,72,75,92,
3440,8996,16,19,2,0,0,8,9,31,54,87,90,105,
3441,7620,15,18,2,0,0,7,10,29,49,70,73,89,
3442,8704,15,17,1,0,0,7,8,28,44,69,72,84,
3443,8000,13,16,1,0,0,6,7,25,43,76,78,91,
3444,8646,16,19,1,0,0,8,9,30,46,71,74,93,
3445,8045,13,16,2,0,0,6,10,25,42,71,73,88,
3446,8810,14,17,2,0,0,12,6,33,43,69,72,83,
3447,7926,16,18,1,0,0,6,8,28,45,103,105,123,
3448,8547,13,15,2,0,0,7,9,26,49,77,79,94,
3449,8069,15,18,1,0,0,6,10,29,51,77,79,97,
3450,8827,14,17,2,0,0,8,6,30,45,72,74,86,
3451,7734,15,18,2,0,0,8,8,29,42,70,72,85,
3452,8633,170,174,3,0,0,10,8,191,43,73,76,91,
3453,8157,15,18,1,0,0,7,9,28,40,71,73,87,
3454,8527,55,60,3,0,0,9,14,75,63,94,97,119,
3455,8151,14,17,1,0,0,7,15,28,43,72,74,95,
3456,8912,14,17,1,0,0,11,9,32,40,70,71,87,
3457,7739,14,17,1,0,0,7,7,28,42,90,93,106,
3458,8832,35,38,1,0,0,7,10,50,52,78,80,96,
3459,8023,14,16,2,0,0,7,9,27,50,74,77,92,
3460,8551,20,23,2,0,0,12,7,39,44,71,73,88,
3461,8016,16,20,2,0,0,8,8,32,50,69,71,85,
3462,8457,15,18,2,0,0,7,7,28,43,71,74,87,
3463,8010,16,19,2,0,0,9,11,33,63,98,101,119,
3464,8724,16,19,2,0,0,6,10,30,46,70,73,89,
3465,8080,14,17,1,0,0,7,7,28,41,73,75,88,
3466,8530,14,16,2,0,0,9,12,30,51,84,87,105,
3467,8219,14,17,2,0,0,8,12,29,50,119,123,143,
3468,8967,16,19,2,0,0,8,7,32,54,89,91,105,
3469,7596,15,19,2,0,0,8,12,31,42,71,74,92,
3470,8554,13,17,1,0,0,7,10,28,50,89,92,107,
3471,8022,13,16,2,0,0,6,10,26,43,68,70,85,
3472,8744,13,15,1,0,0,6,9,25,41,69,70,85,
3473,7895,14,17,1,0,0,7,7,28,44,66,68,80,
3474,8727,14,17,1,0,0,6,10,26,43,74,76,92,
3475,8005,14,17,1,0,0,6,7,27,41,70,72,85,
3476,8723,16,19,1,0,0,6,11,29,41,70,73,89,
3477,8014,16,19,2,0,0,6,10,29,43,67,69,84,
3478,8457,14,17,2,0,0,8,11,29,43,72,75,92,
3479,8114,14,17,1,0,0,7,10,28,41,68,70,85,
3480,8679,14,16,2,0,0,12,7,32,42,74,76,88,
3481,8001,14,17,1,0,0,6,7,26,43,72,74,86,
3482,8850,14,16,1,0,0,7,10,27,44,73,75,90,
3483,7996,19,22,2,0,0,8,15,35,56,86,88,113,
3484,8578,16,19,2,0,0,9,9,34,68,98,100,115,
3485,8322,60,63,1,0,0,7,9,74,43,70,72,87,
3486,8334,15,18,3,0,0,8,10,32,58,89,92,111,
3487,8230,14,17,2,0,0,7,7,28,41,70,72,85,
3488,8289,14,17,1,0,0,8,10,29,42,82,84,101,
3489,8007,14,17,2,0,0,6,10,27,47,70,71,88,
3490,8671,15,17,1,0,0,6,9,27,39,70,72,87,
3491,7955,18,21,2,0,0,14,8,41,64,100,104,117,
3492,8821,14,16,2,0,0,7,9,27,47,69,70,86,
3493,7978,14,16,2,0,0,7,11,27,46,69,71,88,
3494,8554,13,16,1,0,0,7,9,27,43,72,74,88,
3495,8050,13,15,2,0,0,6,9,26,41,68,70,85,
3496,8923,15,17,2,0,0,7,11,29,42,70,72,88,
3497,7755,13,16,2,0,0,8,8,29,45,73,75,89,
3498,8648,13,16,1,0,0,7,9,26,40,72,74,89,
3499,8131,14,16,2,0,0,6,10,26,44,72,74,91,
3500,8597,13,16,1,0,0,7,11,26,39,80,82,99,
3501,8167,15,18,1,0,0,6,11,27,43,74,75,93,
3502,8396,15,17,2,0,0,7,9,28,50,87,89,103,
3503,8108,15,17,2,0,0,7,13,29,45,97,100,120,
3504,8754,16,19,2,0,0,8,10,32,51,70,73,87,
3505,8045,14,18,1,0,0,7,11,28,43,72,74,91,
3506,8538,12,15,2,0,0,10,9,29,42,78,80,95,
3507,8109,13,16,1,0,0,7,8,26,46,75,76,91,
3508,8824,14,16,2,0,0,7,11,27,42,91,93,112,
3509,8038,15,18,2,0,0,8,12,30,45,72,74,93,
3510,8409,17,20,2,0,0,8,8,33,60,85,87,102,
3511,8035,18,22,3,0,0,7,11,34,45,72,74,91,
3512,8939,17,20,2,0,0,10,11,34,60,94,96,115,
3513,8174,16,20,2,0,0,8,10,33,49,81,83,101,
3514,8034,112,117,2,0,0,18,8,140,45,74,77,94,
3515,8011,15,18,2,0,0,7,7,29,48,79,81,93,
